food_item,category,calories,rice_bowl_equivalent,portion_size,source,source_file
"Ang Koo Kuih, Mungbean",Traditional Malaysian Kuih,111.0,0.5,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,ang_koo_kuih_mungbean.json
"Ang Koo Kuih, Peanut",Traditional Malaysian Kuih,194.0,0.9,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,ang_koo_kuih_peanut.json
"Apple, Red",Fruits,63.0,0.3,1 medium fruit,health.family.my - Malaysian Food Calories Breakfast & Teatime,apple_red.json
Banana,Fruits,60.0,0.3,1 medium,health.family.my - Malaysian Food Calories Breakfast & Teatime,banana.json
Butter/Margarine/Mayonnaise,Spreads,45.0,0.2,1 teaspoon,health.family.my - Malaysian Food Calories Breakfast & Teatime,buttermargarinemayonnaise.json
"Cake, Plain",Traditional Malaysian Kuih,100.0,0.5,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,cake_plain.json
Capati & Green Gravy,"Bread, Crackers, and Cakes",166.0,0.8,1 piece + 1/2 cup gravy,health.family.my - Malaysian Food Calories Breakfast & Teatime,capati_green_gravy.json
Chee Cheong Fun,"Bread, Crackers, and Cakes",236.0,1.0,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,chee_cheong_fun.json
Cheesecake,"Bread, Crackers, and Cakes",400.0,2.0,1 slice,health.family.my - Malaysian Food Calories Breakfast & Teatime,cheesecake.json
Chicken Curry Bun,"Bread, Crackers, and Cakes",204.0,1.0,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,chicken_curry_bun.json
Chinese Glutinous Rice (Lor Mai Kai),Traditional Malaysian Kuih,422.0,2.0,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,chinese_glutinous_rice_lor_mai_kai.json
Chocolate Chip Cookies,"Bread, Crackers, and Cakes",200.0,1.0,4 pieces,health.family.my - Malaysian Food Calories Breakfast & Teatime,chocolate_chip_cookies.json
Cucur Udang,Traditional Malaysian Kuih,144.0,0.7,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,cucur_udang.json
Curry Laksa,Noodles,589.0,3.0,1 bowl,health.family.my - Malaysian Food Calories Breakfast & Teatime,curry_laksa.json
Curry Puff,"Bread, Crackers, and Cakes",256.0,1.0,2 pieces,health.family.my - Malaysian Food Calories Breakfast & Teatime,curry_puff.json
Doughnut,Traditional Malaysian Kuih,268.0,1.5,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,doughnut.json
"Dumpling, Chicken",Traditional Malaysian Kuih,203.0,1.0,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,dumpling_chicken.json
Durian,Fruits,60.0,0.3,2 medium seeds,health.family.my - Malaysian Food Calories Breakfast & Teatime,durian.json
Fried Kuay Teow + Cockles,Noodles,743.0,3.5,1 plate,health.family.my - Malaysian Food Calories Breakfast & Teatime,fried_kuay_teow_cockles.json
Fried Noodle/Meehoon,Noodles,510.0,2.5,1 plate,health.family.my - Malaysian Food Calories Breakfast & Teatime,fried_noodlemeehoon.json
Fried Spring Roll,Traditional Malaysian Kuih,91.0,0.4,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,fried_spring_roll.json
Fruit Jam,Spreads,20.0,0.1,1 teaspoon,health.family.my - Malaysian Food Calories Breakfast & Teatime,fruit_jam.json
Grape,Fruits,60.0,0.3,8 pieces,health.family.my - Malaysian Food Calories Breakfast & Teatime,grape.json
Guava,Fruits,60.0,0.3,1/2 small fruit,health.family.my - Malaysian Food Calories Breakfast & Teatime,guava.json
Ham Chi Peng,Traditional Malaysian Kuih,233.0,1.0,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,ham_chi_peng.json
Hard Boiled Egg,Miscellaneous,76.0,0.4,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,hard_boiled_egg.json
Kaya,Spreads,39.0,0.2,1 dessert spoon,health.family.my - Malaysian Food Calories Breakfast & Teatime,kaya.json
Kaya/Coconut Bun,"Bread, Crackers, and Cakes",219.0,1.0,1 piece,health.family.my - Malaysian Food Calories Breakfast & Teatime,kayacoconut_bun.json
